Otwarcie;Maks.;Min.;Kurs;Zm.proc.;Wolumen;Data
10,23;10,39;10,01;10,01;-0,10%;9699;2015-09-25;
11,04;11,04;10,01;10,02;-8,91%;4613;2015-09-24;
11,26;11,26;11,00;11,00;0,18%;12;2015-09-23;
10,88;10,98;10,83;10,98;1,29%;753;2015-09-22;
10,99;11,31;10,72;10,84;-3,64%;2537;2015-09-21;
11,50;12,05;11,25;11,25;-2,17%;5215;2015-09-18;
10,85;11,19;10,11;10,38;-3,89%;3602;2015-09-10;
11,50;11,50;11,45;11,49;-0,09%;40;2015-09-04;
11,50;11,50;11,27;11,50;1,86%;2364;2015-09-03;
12,21;12,21;11,27;11,29;-5,92%;2149;2015-09-02;
12,40;12,40;12,00;12,00;-1,32%;2815;2015-09-01;
12,39;12,39;11,76;12,16;-1,86%;412;2015-08-31;
12,75;12,75;12,28;12,39;-2,82%;1327;2015-08-28;
15,48;16,14;15,33;16,14;0,88%;668;2015-07-22;
16,99;16,99;15,60;16,00;-5,83%;752;2015-07-21;
16,15;16,99;16,15;16,99;5,20%;362;2015-07-20;
15,50;16,20;15,50;16,15;-0,98%;556;2015-07-17;
16,71;16,71;15,98;16,31;-0,55%;670;2015-07-16;
17,00;17,00;16,40;16,40;-3,24%;565;2015-07-15;
16,98;16,98;16,28;16,95;-0,18%;254;2015-07-14;
17,00;17,00;16,40;16,98;-0,12%;350;2015-07-13;
16,99;17,00;16,00;17,00;3,22%;1194;2015-07-10;
16,60;16,60;16,38;16,47;5,58%;62;2015-07-09;
16,70;16,70;15,30;15,60;-7,69%;863;2015-07-08;
17,81;17,81;16,03;16,90;-4,57%;528;2015-07-07;
17,79;17,79;16,85;17,71;-0,56%;187;2015-07-06;
17,00;17,99;17,00;17,81;-1,33%;102;2015-07-03;
18,05;18,05;18,05;18,05;-0,77%;8;2015-07-02;
18,19;18,19;18,19;18,19;-0,05%;3;2015-07-01;
18,20;18,20;17,50;18,20;1,11%;46;2015-06-30;
17,65;18,19;17,00;18,00;-1,10%;1514;2015-06-29;
18,20;18,20;18,20;18,20;0,83%;19;2015-06-26;
18,20;18,20;18,00;18,05;-0,82%;11681;2015-06-25;
17,97;18,20;17,95;18,20;2,25%;2561;2015-06-24;
17,80;17,80;17,41;17,80;0,00%;909;2015-06-23;
17,75;17,80;17,65;17,80;2,30%;1271;2015-06-22;
17,75;17,75;17,40;17,40;-0,57%;262;2015-06-19;
17,76;17,76;17,01;17,50;-1,41%;1678;2015-06-18;
17,76;17,76;17,30;17,75;-0,06%;902;2015-06-17;
17,38;17,76;16,99;17,76;2,19%;473;2015-06-16;
