Week of;Weekly Denver Regular All Formulations Retail Gasoline Prices Dollars per Gallon
11/30/2015;1,884
11/23/2015;1,917
11/16/2015;1,971
11/9/2015;2,032
11/2/2015;2,093
10/26/2015;2,178
10/19/2015;2,246
10/12/2015;2,311
10/5/2015;2,37
09/28/2015;2,426
09/21/2015;2,519
09/14/2015;2,612
09/7/2015;2,687
08/31/2015;2,768
08/24/2015;2,825
08/17/2015;2,86
08/10/2015;2,758
08/3/2015;2,781
07/27/2015;2,781
07/20/2015;2,749
07/13/2015;2,69
07/6/2015;2,654
06/29/2015;2,633
06/22/2015;2,639
06/15/2015;2,617
06/8/2015;2,597
06/1/2015;2,577
05/25/2015;2,57
05/18/2015;2,556
05/11/2015;2,528
05/4/2015;2,453
04/27/2015;2,371
04/20/2015;2,312
04/13/2015;2,226
04/6/2015;2,193
03/30/2015;2,197
03/23/2015;2,187
03/16/2015;2,204
03/9/2015;2,209
03/2/2015;2,176
02/23/2015;2,151
02/16/2015;2,055
02/9/2015;1,998
02/2/2015;1,859
01/26/2015;1,861
01/19/2015;1,86
01/12/2015;1,934
01/5/2015;2,057
12/29/2014;2,192
12/22/2014;2,339
12/15/2014;2,506
12/8/2014;2,688
12/1/2014;2,787
11/24/2014;2,873
11/17/2014;2,944
11/10/2014;2,99
11/3/2014;3,028
10/27/2014;3,09
10/20/2014;3,164
10/13/2014;3,278
10/6/2014;3,4
09/29/2014;3,464
09/22/2014;3,524
09/15/2014;3,574
09/8/2014;3,601
09/1/2014;3,613
08/25/2014;3,63
08/18/2014;3,631
08/11/2014;3,616
08/4/2014;3,586
07/28/2014;3,578
07/21/2014;3,582
07/14/2014;3,586
07/7/2014;3,59
06/30/2014;3,588
06/23/2014;3,552
06/16/2014;3,473
06/9/2014;3,442
06/2/2014;3,437
05/26/2014;3,431
05/19/2014;3,433
05/12/2014;3,447
05/5/2014;3,475
04/28/2014;3,493
04/21/2014;3,51
04/14/2014;3,532
04/7/2014;3,557
03/31/2014;3,576
03/24/2014;3,588
03/17/2014;3,589
03/10/2014;3,59
03/3/2014;3,531
02/24/2014;3,447
02/17/2014;3,333
02/10/2014;3,173
02/3/2014;3,138
01/27/2014;3,148
01/20/2014;3,153
01/13/2014;3,152
01/6/2014;3,136
12/30/2013;3,103
12/23/2013;3,034
12/16/2013;2,999
12/9/2013;3,032
12/2/2013;3,081
11/25/2013;3,113
11/18/2013;3,137
11/11/2013;3,164
11/4/2013;3,212
10/28/2013;3,263
10/21/2013;3,321
10/14/2013;3,359
10/7/2013;3,397
09/30/2013;3,451
09/23/2013;3,508
09/16/2013;3,53
